Depth,Pinus,Pinus-sub white,Pinus-sub yellow,TCT,Tsuga,Picea,Abies, ,Alnus,Quercus,Salix,Caesalpinia,Liquidambar,Corylus,Acer,Lithocarpus,,Unknown A,Unknown B,Unknown C,Unknown D,Unknown E,Unknown F,Urtica Type,Parnassis Type,Thalictrum,Ribes,Ephedra,Onagraceae,Liguliflorae,Artemisia,Aster HS,Aster LS,Ambrosia,Plantago,Sarcobatus,Amaranthaceae-Sm,Amaranthaceae,Larrea Type,Solanaceae Type,Ranunculaceae Type,,ROSACEAE/ RHAMNACEAE,Cercocarpus,,Umbelliferae,Croton,Menyanthus,Poaceae,Large Pore Poa,Typha/Sparganium,CYPERACEAE,Nymphaea,Nuphar,Potamogeton,Triglochin,Myriophyllum,Ruppia,Polygonum,Utricularia,Isoetes,Trilete,Monolete Smooth,Monolete Rough,Botryococcus,Pediastrum,,Indeterminate,Unknown,Spore A,Total,Control
1,201,,,5,,5,,,2,7,5,,,,2,,,1,,,1,,,,,1,,3,,,146,7,6,4,,8,6,26,,1,,,3,6,,,,,17,2,3,8,1,1,,,,,,,90,2,1,,,28,,42,12,,625,163
9,132,,,,,,1,,,6,4,,,,2,,,4,5,,,,,,,1,,,,,152,32,5,4,,6,16,18,,,1,,1,,,,1,,20,10,3,16,,,,,,,,,82,,1,,,253,,53,19,17,612,94
29,193,,,1,,,,,3,3,,,,,1,,,3,1,,,,,,,1,,1,,,149,13,,9,,18,6,19,,1,,,1,2,,1,,,33,5,3,11,1,,,,,,,,102,,,,,362,,23,4,,608,193
40,191,,,4,,,,,,,1,,,,,,,1,,,8,,,,,,,2,,,137,18,4,6,,14,7,14,,,,,3,3,,,,,37,8,1,12,3,,,,,,,,116,,2,,,330,,29,5,,626,179
50,187,,,1,,1,,,2,2,1,,,,,,,3,,,,,,2,,1,1,,1,,110,15,2,4,,12,,25,,,,,,2,,,,,46,,,12,,,,,,,,,129,,,,,212,,33,11,,603,82
67.5,139,,,1,,,,,3,3,3,,,,,,,4,1,,,,,,,4,2,,,,124,13,2,6,5,10,8,12,,,,,6,4,,,,,26,4,1,13,1,,,,,,,,177,1,,,,525,,26,11,,605,41
70.5,141,,,4,,,,,,3,2,,,,,,,,1,,,,,1,,,,3,,,116,7,,6,,11,10,16,,,,,1,3,,1,,,39,11,1,8,,,,,,,,,167,1,,,,222,,36,18,,607,72
78,142,,,4,,,,,4,1,4,,,,1,,,1,1,,8,,,,,2,,1,,,140,14,2,8,,14,6,31,,2,,,1,,,,,,34,8,3,10,4,,,,,,,,139,,1,,,203,,32,3,,621,127
82.5,179,,,,,,3,,,3,4,,,,,,,3,,,,,,1,,,,2,,1,170,10,3,4,,18,11,16,,,,,,5,,1,,,41,,,21,,,1,,,,,,125,,1,,,31,,29,18,,670,96
86.5,119,,,,,,1,,3,5,2,,,,,,,2,2,,5,,,,,1,,,,,129,21,2,4,,20,5,23,,2,,,1,,,,,,49,11,7,13,6,,,,,,,,118,1,,,,1021,,38,15,,605,181
91,116,,,1,,,,,2,4,3,,,,,,,,,,,,,,,2,2,,,,138,15,2,2,,12,7,23,,1,,,,2,,2,,,40,9,,12,1,,,,,,,,162,1,1,1,,297,,29,14,,604,122
106,123,,,,,,,,1,3,4,,,1,,,,,,,,,,,,1,,3,,,137,14,2,9,,18,9,23,,,,,2,1,,,,,42,7,,15,4,1,,,,,,,147,,,,,362,,35,5,,607,118
130,157,,,1,,,,,1,1,1,,,,,,,1,3,,,,,,1,,,,,,133,14,,4,,7,5,14,,,,,3,1,,,,,40,5,,7,,,,,,,,,180,,4,,,378,,30,11,,624,110
155,146,,,3,,,,,2,,1,,,,,,,1,1,,,,,1,,,,1,,,150,21,,6,1,10,11,19,,,,,,,,,,,31,8,,15,,,,,,,,,159,,1,,,72,,23,15,,625,52
180.5,120,,,,,,,,,5,1,,,,,,,,,,,,,1,,1,,,,,133,14,,5,2,18,9,17,,1,,,1,3,,2,,,26,4,1,9,1,,1,,,,,,157,2,,2,,632,,56,14,,604,104
192.5,134,,,2,,,,,1,1,,,,,,,,4,2,,,,,,,1,,,,,137,13,4,8,,20,13,17,,,,,2,2,,,,,38,9,8,6,1,,2,,,,,,123,2,,,,218,,39,17,,606,93
196.5,142,,,4,,,1,,3,1,3,,,,1,,,,1,,10,,,,,,,1,,,132,10,1,6,,14,3,23,,1,,,,2,,,,,18,7,1,9,1,,,,,,,,167,1,1,,,1429,,28,9,,601,135
204.5,125,,,,,,,,1,2,3,,,,,,,2,2,,,,,1,,,,2,,,148,12,1,5,,14,7,23,,,,,4,7,,,,,32,6,1,6,5,,,,,,,,205,,1,,,262,,32,12,,659,18
210,114,,,1,,,3,,,2,4,,,,1,,,2,1,,5,,,,,1,,,,,117,14,2,5,,10,4,31,,1,,,2,5,,,,,33,10,3,6,1,,,,,,,,191,2,,,,871,,26,9,,606,87
216,93,,,2,,,,,5,3,3,,,,,,,,1,,,,,4,,,,,1,,114,21,3,9,,10,6,26,,2,,,,1,,,,,28,2,4,15,1,,,,,,,,190,,,,,264,,46,15,1,606,45
228.5,106,,,1,,,,,3,,3,,,1,,1,,,1,,,,,1,,,,,,,130,4,1,6,1,10,10,25,1,,,,2,1,,,,,24,3,5,12,,,,,,,,,225,,,,,540,,40,10,,626,88
257.5,144,,,,,,,,,4,3,,,,,,,,1,,,,,,,,,1,,2,148,13,,10,,11,12,19,,,,,4,1,,,,,23,6,5,1,,,,,,,,,183,,1,,,523,,22,11,,625,51
281.5,104,,,2,,,1,,,,3,,,,1,,,,,,,,,1,,,,2,,,115,10,,3,,13,11,30,,,,,4,4,,1,,,59,3,2,11,,,,,,,,,178,,,,,242,,36,12,,606,42
291.5,146,,,1,,,,,2,2,3,,,,,,,,,,,,,,,1,,1,,,104,11,3,3,,11,7,12,,,,,4,1,,,,,30,3,1,7,1,,1,,,,,,223,,4,,,318,,31,6,,619,87
303.5,118,,,,,,1,,1,1,1,,1,,,,,,4,,,,,,,,,,,,120,4,4,1,,12,14,21,,,,,4,4,,,,,19,6,,11,,,,,,,,,211,2,,,,142,,35,11,,606,62
312,183,,,1,,,,,,4,3,,,,,,,3,1,,,,,,,,,,,,137,16,3,5,,15,10,23,,1,,,,4,,,,,18,7,5,8,3,,,,,,,,120,3,,,,351,,25,9,,607,73
331.5,192,,,,,,,,,7,3,,,1,1,,,,,,,,,,,,,1,,,135,11,,8,,14,18,26,,,,,1,4,,2,,,23,5,,13,1,,,,,,,,111,,,,,59,,36,6,1,620,64
344.5,194,,,3,,,15,,1,2,3,,,,,,,1,1,,4,,,,,,,1,,,137,10,5,7,,15,5,36,,1,,,2,,,1,,,27,5,,5,2,,,,,,,,81,,,,,68,,24,18,,606,71
361,137,,,,,,,,,1,2,1,1,,,,,4,4,,,,,2,,,,3,,,219,11,1,13,,23,15,34,1,,,,,3,,,,,33,,,11,,,,,,,,,55,,1,,,59,,26,10,,611,50
373.5,186,,,3,,1,3,,,5,3,,,,2,,,5,,,10,,,,,,,,,1,135,19,5,9,,21,12,38,,,,,1,6,,1,,,19,4,,6,,,2,,,,,,47,1,,,,95,,55,7,,607,93
385,168,,,,,,,,,,2,,,,2,,,,1,,,,,,,,,,,,151,12,,12,,29,11,55,,,,,8,2,,,,,27,16,1,15,,,,,,,,,62,1,2,,,24,,33,8,,618,38
405.5,190,,,5,,,1,,1,2,4,,1,1,,,,1,,,,,,,,,,3,2,1,128,24,7,11,,16,19,42,,,,,6,2,,2,1,2,29,7,2,10,2,,6,,,,,,9,,4,,,13,,44,31,,616,82